Unnamed: 0,번호,제목,저자,출판사,출판일
,38,Biology must develop its own big-data systems,"Boyle, J.",Nature Publishing Group,2013
,39,A Kernel-Based Framework for Medical Big-Data Analytics,"Windridge, D.; Bober, M.",Cham; Springer,2014
,40,A code offloading scheme for big-data processing in android applications,"Hung, S. H.; Tzeng, T. T.; Wu, G. D.; Shieh, J. P.","John Wiley & Sons, Ltd",2015
,41,A qualitative readiness-requirements assessment model for enterprise big-data infrastructure investment [9122-13],"Olama, M.M.; McNair, A.W.; Sukumar, S.R.; Nutaro, J.J.",International Society for Optical Engineering; 1999,2014
,42,Proxy expenditure weights for Consumer Price Index: Audit sampling inference for big‐data statistics,"Zhang, Li‐Chun",John Wiley & Sons Ltd,2021
,43,Symmetrical Compression Distance for Arrhythmia Discrimination in Cloud-Based Big-Data Services,"Lillo-Castellano, J. M.; Mora-Jimenez, I.; Santiago-Mozos, R.; Chavarria-Asso, F.; Cano-Gonzalez, A.; Garcia-Alberola, A.; Rojo-Alvarez, J. L.",IEEE,2015
,44,Analyzing the Influencing Factors of Urban Thermal Field Intensity Using Big-Data-Based GIS,"Huanchun, Huang; Hailin, Yang; Xin, Deng; Cui, Hao; Zhifeng, Liu; Wei, Liu; Peng, Zeng",Elsevier Science,2020
,45,A Kind of Novel ITS Based on Space-Air-Ground Big-Data,"Xiong, G.; Zhu, F.; Dong, X.; Fan, H.; Hu, B.; Kong, Q.; Kang, W.; Teng, T.",IEEE Institute of Electrical & Electronics,2016
,46,Mining Based Time-Series Sleeping Pattern Analysis for Life Big-Data,"Kim, Joo-Chang; Chung, Kyungyong",Springer Nature,2018
,47,"Selected Peer-Reviewed Articles from 3rd International Conference on Big-Data, IoT, Cloud Computing Technologies and Applications (BICTA 2017), Daejeon, Korea, 9–11 November, 2017",Sok Pal Cho,American Scientific Publishers,2018
,48,CAMP: ACCURATE MODELING OF CORE AND MEMORY LOCALITY FOR PROXY GENERATION OF BIG-DATA APPLICATIONS,"Panda, Reena; Zheng, Xinnian; Gerstlauer, Andreas; John, Lizy Kurian",IEEE Computer Society,2018
,49,WHEN SHOULD INVESTORS SHORT THE STOCKS OF ACQUIRING FIRMS? BIG-DATA INSIGHTS FROM JOINING CAR AND EVA STYLE ANALYSIS,"Chakraborty, Atreya; Grant, James L.; Trahan, Emery A.; Varma, Bhakti",INSTITUTIONAL INVESTOR INC.,2019
,50,"Competing risk nomograms for nasopharyngeal carcinoma in the intensity-modulated radiotherapy era: A big-data, intelligence platform-based analysis","Huang, Xiao-Dan; Zhou, Guan-Qun; Lv, Jia-Wei; Zhou, Hua-Qiang; Zhong, Chen-Wen; Wu, Chen-Fei; Zheng, Zi-Qi; He, Xiao-Jun; Peng, Liang; Ma, Jun; Sun, Ying","Elsevier Science B.V., Amsterdam.",2018
,51,Stakeholder concerns of air pollution in Hong Kong and policy implications: A big-data computational text analysis approach,"Lam, Jacqueline C.K.; Cheung, Lawrence Y.L.; Wang, Shanshan; Li, Victor O.K.","Elsevier Science B.V., Amsterdam.",2019
,52,A Novel on Altered K-Means Algorithm for Clustering Cost Decrease of Non-labeling Big-Data,"Jung, Se-Hoon; So, Won-Ho; You, Kang-Soo; Sim, Chun-Bo",Springer,2018
,53,Parallel and Distributed Successive Convex Approximation Methods for Big-Data Optimization,"Scutari, Gesualdo; Sun, Ying",Springer-Verlag,2014
,54,Stochastic Decision Making for Adaptive Crowdsourcing in Medical Big-Data Platforms,"Kim, J.; Lee, W.",IEEE,2015
,55,Effective crude oil price forecasting using new text-based and big-data-driven model,"Wu, Binrong; Wang, Lin; Lv, Sheng-Xiang; Zeng, Yu-Rong","Elsevier Science B.V., Amsterdam.",2021
,56,Androgen Deprivation Therapy and Dementia: New Opportunities and Challenges in the Big-Data Era,"Nead,  Kevin T.",American Society of Clinical Oncology,2017
,57,Aspirin and heart disease form focus of US big-data health initiative,unknown,Nature Publishing Group,2014
,58,Introduction to the Special Issue on Online Learning for Big-Data Driven Transportation and Mobility,"Del Ser, Javier; Sanchez-Medina, Javier J.; Vlahogianni, Eleni I.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2019
,59,"A candidate gene identification strategy utilizing mouse to human big-data mining: ""3R-tenet"" in COPD genetic research","Vishweswaraiah, Sangeetha; George, Leema; Purushothaman, Natarajan; Ganguly, Koustav",Springer Nature,2018
,60,PMU44 - TOP 10 MOST COSTLY DISEASES IN CHINA: A BIG-DATA DATABASE ANALYSIS,"Huang, Y; Ruan, J; Yang, W; Wu, Y; Xiao, H","Elsevier Science B.V., Amsterdam",2018
,61,Introduction to the Special Issue on Online Learning for Big-Data Driven Transportation and Mobility,unknown,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2019
,62,Convergent Evolution of the Army Ant Syndrome and Congruence in Big-Data Phylogenetics,Marek L Borowiec,Society of Systematic Biologists,2019
,63,Anatomy of Scholarly Collaboration in Engineering Education: A Big-Data Bibliometric Analysis,"Xian, H.; Madhavan, K.",AMERICAN SOCIETY FOR ENGINEERING EDUCATION,2014
,64,Predicting Congestion States from Basic Safety Messages by Using Big-Data Graph Analytics,"Vasudevan,  Meenakshy; Negron,  Daniel; Feltz,  Matthew; Mallette,  Jennifer; Wunderlich,  Karl","Washington, DC; National Academy Press; 1998",2015
,65,An error‐correction and anti‐interference coding method for tracking big‐data information of commodities,"Wan, Jiaxin; Chen, Lan; Tong, Mei Song","John Wiley & Sons, Ltd",2021
,66,"Development of Human Emotion Circuits Investigated Using a Big-Data Analytic Approach: Stability, Reliability, and Robustness","Zhang, Yuan; Padmanabhan, Aarthi; Gross, James J.; Menon, Vinod",Society for Neuroscience,2019
,67,"Genomic Sequencing: Assessing The Health Care System, Policy, And Big-Data Implications","Phillips, K.A.; Trosman, J.R.; Kelley, R.K.; Pletcher, M.J.; Douglas, M.P.; Weldon, C.B.",PROJECT HOPE,2014
,68,Raffi Krikorian He left Uber to help the DNC regain its big-data mojo,unknown,TECHNOLOGY REVIEW,2018
,69,Real-time business activity monitoring and analysis of process performance on big-data domains,"Vera-Baquero, Alejandro; Colomo-Palacios, Ricardo; Molloy, Owen","Elsevier Science B.V., Amsterdam.",2016
,70,"Risk Assessment of Secondary Primary Malignancies in Nasopharyngeal Carcinoma: A Big-Data Intelligence Platform-Based Analysis of 6, 377 Long-term Survivors from an Endemic Area Treated with Intensity-Modulated Radiation Therapy during 2003-2013","Zhang, Lu-Lu; Li, Guo-Hong; Li, Yi-Yang; Qi, Zhen-Yu; Lin, Ai-Hua; Sun, Ying",Korean Cancer Association,2019
,71,Quantifying Uncertainty in Internet of Medical Things and Big-Data Services Using Intelligence and Deep Learning,"Al-Turjman, Fadi",IEEE,2019
,72,Predicting future mental illness from social media: A big-data approach,"Thorstad, Robert; Wolff, Phillip",Springer Nature,2019
,73,"Chew on It! How Singapore-based health informatics company MHC Asia Group crunches big-data to uncover your company's health. MHC Asia, Singapore",unknown,K.H. BIOTECH SERVICES,2015
,74,"Deep Thinkers For three top-tier businesses that are reaping big rewards from big-data analytics, the keys to success include a deeply rooted culture of analytics and a relentless focus on cost efficiency and process improvement",unknown,CW COMMUNICATIONS INC.,2013
,75,An energy management platform for micro-grid systems using Internet of Things and Big-data technologies,Abdellatif Elmouatamid ; Youssef NaitMalek ; Mohamed Bakhouya ; Radouane Ouladsine ; Najib Elkamoun ; Khalid Zine-Dine ; Mohammed Khaidar,Institution of Mechanical Engineers,2019
,76,Modeling for Global Management of Complex Product Subject Data Oriented at Big-Data,"Wu, D.; Yin, G.F.",TRANS TECH PUBLICATIONS,2014
,77,Managing default risk under trade credit: Who should implement Big-Data analytics in supply chains?,"Tsao, Yu-Chung","Elsevier Science B.V., Amsterdam.",2017
,78,"Digital conversations about suicide among teenagers and adults with epilepsy: A big‐data, machine learning analysis","Falcone, Tatiana; Dagar, Anjali; Castilla-Puentes, Ruby C.; Anand, Amit; Brethenoux, Caroline; Valleta, Liliana G.; Furey, Patrick; Timmons-Mitchell, Jane; Pestana-Knight, Elia",John Wiley & Sons Ltd,2020
,79,Special issue on trends in high‐performance interconnection networks in the exascale and big‐data era,"Escudero‐Sahuquillo, Jesús; Garcia, Pedro Javier","John Wiley & Sons, Ltd",2017
,80,The best ways to get business value out of big-data analysis,unknown,CXO MEDIA,2012
,81,A Cloud-Distributed GPU Architecture for Pattern Identification in Segmented Detectors Big-Data Surveys,"Napoli, C.; Pappalardo, G.; Tramontana, E.; Zappalà, G.",Oxford University Press,2016
,82,A novel GPU-aware Histogram-based algorithm for supporting moving object segmentation in big-data-based IoT application scenarios,"Cuzzocrea, Alfredo; Mumolo, Enzo","Elsevier Science B.V., Amsterdam.",2019
,83,Predicting In-Hospital Mortality at Admission to the Medical Ward: A Big-Data Machine Learning Model,"Soffer, Shelly; Klang, Eyal; Barash, Yiftach; Grossman, Ehud; Zimlichman, Eyal","Elsevier Science B.V., Amsterdam.",2021
,84,"Analysis commons, a team approach to discovery in a big-data environment for genetic epidemiology","Brody, J. A.; Morrison, A. C.; Bis, J. C.; O'Connell, J. R.; Brown, M. R.; Huffman, J. E.; Ames, D. C.; Carroll, A.; Conomos, M. P.; Gabriel, S.",Nature Publishing Group,2017
,85,Siting public electric vehicle charging stations in Beijing using big-data informed travel patterns of the taxi fleet,"Cai, H.; Jia, X.; Chiu, A.S.F.; Hu, X.; Xu, M.","Elsevier Science B.V., Amsterdam.",2014
,86,Commuting inequity and its determinants in Shanghai: New findings from big-data analytics,"Zhao, Pengjun; Cao, Yushu","Elsevier Science B.V., Amsterdam.",2020
,87,Correlation between Total Solar Irradiance and Glycated Hemoglobin 2 to 3 Months Later in Patients with Diabetes: A Big-Data Analysis,"Kinchiku, S.; Kotani, K.; Maruguchi, Y.; Aikou, A.; Uenomachi, H.; Kajiya, S.",Elsevier,2016
,88,A benchmark approach and its toolkit for online scheduling of multiple deadline-constrained workflows in big-data processing systems,"Zhang, Dongzhan; Yan, Wenjing; Bugingo, Emmanuel; Zheng, Wei; Chen, Jinjun","Elsevier Science B.V., Amsterdam.",2018
,89,A ReRAM-Based 4T2R Nonvolatile TCAM Using RC-Filtered Stress-Decoupled Scheme for Frequent-OFF Instant-ON Search Engines Used in IoT and Big-Data Processing,"Chang, M.; Huang, L.; Lin, W.; Chiang, Y.; Kuo, C.; Chuang, C.; Yang, K.; Tsai, H.; Chen, T.; Sheu, S.",IEEE; 1998,2016
,90,Demographic distribution of hospital admissions for brain arteriovenous malformations in Germany–estimation of the natural course with the big-data approach,"Petridis, A. K.; Fischer, I.; Cornelius, J. F.; Kamp, M. A.; Ringel, F.; Tortora, A.; Steiger, H. J.",Springer Science + Business Media,2016
,91,Optimizing the induction chemotherapy regimen for patients with locoregionally advanced nasopharyngeal Carcinoma: A big-data intelligence platform-based analysis,"Peng, Hao; Tang, Ling-Long; Chen, Bin-Bin; Chen, Lei; Li, Wen-Fei; Mao, Yan-Ping; Liu, Xu; Zhang, Yuan; Liu, Li-Zhi; Tian, Li; Guo, Ying; Sun, Ying; Ma, Jun","Elsevier Science B.V., Amsterdam.",2018
,92,E-government recommendation algorithm based on probabilistic semantic cluster analysis in combination of improved collaborative filtering in big-data environment of government affairs,"Xu, Caie; Xu, Lisha; Lu, Yingying; Xu, Huan; Zhu, Zhongliang",Springer Nature,2019
,93,Agricultural cropland extent and areas of South Asia derived using Landsat satellite 30-m time-series big-data using random forest machine learning algorithms on the Google Earth Engine cloud,"Gumma, Murali Krishna; Thenkabail, Prasad S.; Teluguntla, Pardhasaradhi G.; Oliphant, Adam; Xiong, Jun; Giri, Chandra; Pyla, Vineetha; Dixit, Sreenath; Whitbread, Anthony M",Taylor and Francis,2020
,94,"Hepatitis B virus screening and reactivation and management of patients with nasopharyngeal carcinoma: A large-scale, big-data intelligence platform-based analysis from an endemic area","Lv, J. W.; Chen, Y. P.; Huang, X. D.; Zhou, G. Q.; Chen, L.; Li, W. F.; Tang, L. L.; Mao, Y. P.; Guo, Y.; Xu, R. H.","John Wiley & Sons, Ltd",2017
,95,Sleep and screen exposure across the beginning of life: deciphering the links using big-data analytics,"Kahn, Michal; Barnett, Natalie; Glazer, Assaf; Gradisar, Michael",Oxford University Press,2020
,96,"The Molecular Revolution in Cutaneous Biology: The Era of Genome-Wide Association Studies and Statistical, Big Data, and Computational Topics","Anbunathan, Hima; Bowcock, Anne M.",Nature Publishing Group,2017
,97,Evolution of regional low-carbon innovation systems with sustainable development: An empirical study with big-data,"Yin, Hang; Zhao, Jianyu; Xi, Xi; Zhang, Yuhan","Elsevier Science B.V., Amsterdam.",2019
,98,Detection of the onset of agitation in patients with dementia: real-time monitoring and the application of big-data solutions,"Moore, P.; Thomas, A.; Tadros, G.; Xhafa, F.; Barolli, L.",Inderscience Publisher,2013
,99,Survival impact of radiotherapy interruption in nasopharyngeal carcinoma in the intensity-modulated radiotherapy era: A big-data intelligence platform-based analysis,"Yao, Ji-Jin; Zhang, Fan; Gao, Tian-Sheng; Zhang, Wang-Jian; Lawrence, Wayne R.; Zhu, Bao-Ting; Zhou, Guan-Qun; Ma, Jun; Wang, Si-Yang; Sun, Ying","Elsevier Science B.V., Amsterdam.",2019
,100,Small‐batch‐size convolutional neural network based fault diagnosis system for nuclear energy production safety with big‐data environment,"Yao, Yuantao; Wang, Jin; Long, Pengcheng; Xie, Min; Wang, Jianye","John Wiley & Sons, Ltd",2020
,1,Opportunities for Energy Efficient Computing: A Study of Inexact General Purpose Processors for High-Performance and Big-Data Applications,"Düben, Peter; Schlachter, Jeremy; Parishkrati,; Yenugula, Sreelatha; Augustine, John; Enz, Christian; Palem, K.; Palmer, T. N.",IEEE Computer Society,2015
,2,An Improved SVM-T-RFE Based on Intensity-Dependent Normalization for Feature Selection in Gene Expression of Big-Data,"Kim,  Chayoung; Kim,  Hye-young",Springer,2017
,3,"Corporate social responsibility, Green supply chain management and firm performance: The moderating role of big-data analytics capability","Wang, Chenxiao; Zhang, Qingpu; Zhang, Wei",Elsevier Science B.V.Amsterdam,2020
,4,Scheduling Instructions for Enhanced Performance and Energy Efficiency on a Clustered Architecture with Applications in Big-Data Sensor Networks ," Zeng, Sishu; Tang, Haijing; Yang, Xu",American Scientific Publishers,2016
,5,A 3T1R Nonvolatile TCAM Using MLC ReRAM for Frequent-Off Instant-On Filters in IoT and Big-Data Processing,"Chang, M.; Lin, C.; Lee, A.; Chiang, Y.; Kuo, C.; Yang, G.; Tsai, H.; Chen, T.; Sheu, S.",IEEE; 1998,2017
,6,A utility-maximization model for retrieving users' willingness to travel for participating in activities from big-data,"Gkiotsalitis, K.; Stathopoulos, A.","Elsevier Science B.V., Amsterdam.",2015
,7,Granulomatosis with Polyangiitis Presenting with Acute Aortic and Mitral Regurgitation: Case Report and Big-Data Analysis,"Al-Kindi,  Sadeer G.; Al-Aiti,  M. Amer; Yang,  Michael; Josephson,  Richard A.",ICR PUBLISHERS,2017
,8,A Review of Modern Cryptography: From the World War II Era to the Big-Data Era,"Lu,  Bojun",Kluwer Academic Publishers,2017
,9,PRS66 A COST ANALYSIS OF CURRENT SITUATION OF PNEUMONIA TREATMENT IN CHINA: A BIG-DATA HOSPITAL INFORMATION SYSTEM (HIS) DATABASE ANALYSIS,"Huang, Y.; Wang, C.; Xue, X.; Wu, G.; Li, J.","Elsevier Science B.V., Amsterdam",2019
,10,Environmental impacts characterization of packaging waste generated by urban food delivery services. A big-data analysis in Jing-Jin-Ji region (China),"Liu, Gengyuan; Agostinho, Feni; Duan, Huabo; Song, Guanghan; Wang, Xueqi; Giannetti, Biagio F.; Santagata, Remo; Casazza, Marco; Lega, Massimiliano","Elsevier Science B.V., Amsterdam.",2020
,11,Clinical features and survival outcomes between ascending and descending types of nasopharyngeal carcinoma in the intensity-modulated radiotherapy era: A big-data intelligence platform-based analysis,"Yao, Ji-Jin; Qi, Zhen-Yu; Liu, Zhi-Gang; Jiang, Guan-Min; Xu, Xi-Wei; Chen, Shao-Yi; Zhu, Feng-Ting; Zhang, Wang-Jian; Lawrence, Wayne R.; Ma, Jun; Zhou, Guan-Qun; Sun, Ying","Elsevier Science B.V., Amsterdam.",2019
,12,"Determinant roles of gender and age on sii, plr, nlr, lmr and mlr and their reference intervals defining in henan, china: a posteriori and big‐data‐based","Meng, Xianchun; Chang, Qian; Liu, Yuying; Chen, Ling; Wei, Gaohui; Yang, Jingjing; Zheng, Peiguo; He, Fucheng; Wang, Wanhai; Ming, Liang","John Wiley & Sons, Ltd",2018
,13,"A ""big-data"" algorithm for KNN-PLS","Metz, Maxime; Lesnoff, Matthieu; Abdelghafour, Florent; Akbarinia, Reza; Masseglia, Florent; Roger, Jean-Michel","Elsevier Science B.V., Amsterdam.",2020
,14,DONEPEZIL USE AND THE EMERGENCE OF COMORBIDITY IN PATIENTS WITH ALZHEIMER'S DEMENTIA: FINDINGS FROM REAL-WORLD 'BIG-DATA' IN JAPAN,"Kobayashi, Hiroyuki; Arai, Heii",ELSEVIER SCIENCE B.V. AMSTERDAM,2018
,15,"Big data small data. The concept of big data is hard to quantify, so it's good to remember hat big data is made up of small data","Randall, C.",CENTAUR MEDIA PLC,2013
,16,Big data from small data: data-sharing in the 'long tail' of neuroscience,"Ferguson, A. R.; Nielson, J. L.; Cragin, M. H.; Bandrowski, A. E.; Martone, M. E.",Nature Publishing Group,2014
,17,Big Data Mining or Turning Data Mining into Predictive Analytics from Large-Scale 3Vs Data: The Future Challenge for Knowledge Discovery,"Cuzzocrea, A.",SPRINGER-VERLAG,2014
,18,Big Data: Big Pain or Big Gain for Lawyers?,"Nelson, S.D.; Simek, J.W.",AMERICAN BAR ASSOCIATION,2013
,19,Big Data and Risk Management The financial services industry provides lessons on how to prevent ``Big Data'' from becoming a big problem,unknown,RISK MANAGEMENT SOC PUBLISHING INC,2012
,20,"Big data: internal audit Liz Sandwith of the Chartered Institute of Internal Auditors, looks at how big data affects the internal audit process",unknown,INSTITUTE OF CHARTERED ACCOUNTANTS,2017
,21,"Big Data, Little Data, No Data: Scholarship in the Networked World","Greenberg, Jane",Taylor & Francis,2016
,22,"``Big data'' and device reprocessing among FDA's device science goals - FDA's device Center Science Council wants to leverage so-called big data and evidence from real-world clinical experience, improve reprocessing of reusable medical devices, and enhance use of health information technology and device cybersecurity, among other FY 2016 regulatory science goals",unknown,Elsevier Business Inteligence,2015
,23,"Big Data‐Savvy Teams' Skills, Big Data‐Driven Actions and Business Performance","Akhtar, Pervaiz; Frynas, Jędrzej George; Mellahi, Kamel; Ullah, Subhan",John Wiley & Sons Ltd,2019
,24,"Big Data, Little Data, No Data: Scholarship in the Networked World. By Christine L. Borgman","Lemieux,  Thomas Mayer",CANADIAN JOURNAL OF COMMUNICATION CORPORATION,2017
,25,"Big Data, Little Data, No Data: Scholarship in the Networked World","Fu, Tao",Taylor & Francis,2017
,26,Big Benefit from Big Data: A Real-Time Data Product Creation and Distribution System,"Haderman, M.D.; Pasch, A.N.; Dye, T.S.; Chan, A.C.; Miller, D.S.; White, J.E.; Dickerson, P.G.",Kluwer Academic Publishers,2014
,27,Big data: What does big data mean? And what are its implications for marketers and brands?,unknown,CENTAUR MEDIA PLC,2012
,28,"Big Data, Little Data, No Data: Scholarship in the Networked World by Christine L. Borgman. Cambridge, MA: MIT Press, 2015. 400 pp. $32 (hardcover). (ISBN 9780262028561).","Tenopir, C.",John Wiley & Sons Ltd,2016
,29,Big data: big opportunities or big challenges?,"Elder, Dave P.",RUSSELL PUBLISHING LTD,2018
,30,BIG DATA: LEVERAGING BIG DATA TO IMPROVE SUBSCRIBER SERVICE MANAGEMENT,unknown,CAHNERS BUSINESS INFORMATION,2012
,31,Big Data: Friend or Foe of Digital Advertising? Five Ways Marketers Should Use Digital Big Data to Their Advantage,"Fulgoni, G.",World Advertising Research Center,2013
,32,"Big Data: Big Gain or Big Pain for Lawyers? Huge quantities of data offer a potential boon to lawyers, but they will cause headaches, too","Nelson, S.D.; Simek, J.W.",AMERICAN BAR ASSOCIATION,2013
,33,Big Data-Based Improved Data Acquisition and Storage System for Designing Industrial Data Platform,unknown,IEEE,2019
,34,BIG DATA: The harnessing of `big data' by companies is one way to improve operations and product development,unknown,BRW MEDIA,2011
,35,Big data An introduction to ``big data'' as a technique to gain competitive advantage from a company's biggest IT asset: data,unknown,ISA INSTRUMENT SOCIETY OF AMERICA,2013
,36,Big Security for Big Data: Addressing Security Challenges for the Big Data Infrastructure,"Demchenko, Y.; Ngo, C.; de Laat, C.; Membrey, P.; Gordijenko, D.",SPRINGER-VERLAG,2014
,37,Big Analogue Data: The Biggest of Big Data,unknown,FINDLAY PUBLICATIONS LTD,2014
,38,Big data meets materials science: Training the future generation Capitalizing on the promise of ``big data'' will require materials scientists who are trained in data informatics. Several universities are answering the call,"Dickey,  Elizabeth; Arthur,  Greer",AMERICAN CERAMIC SOCIETY,2017
,39,BIG DATA IS A BIG DEAL The E&amp;P industry must work with ``big data'' to meet future demand from a growing global population,unknown,SOCIETY OF PETROLEUM ENGINEERS OF AIME,2013
,40,Big data Preparing for the future of `smart water' and `big data',"Slawecki,  Tad; McMaster,  Cecil; Lodhi,  Mujib; Horvath,  Eric; Hornback,  Chris; Nakamura,  Brianne",WATER ENVIRONMENT FEDERATION,2016
,41,Big Data: The Fourth Data Management Generation,"Watson, H.J.; Marjanovic, O.",The Data Warehouse Institute,2013
,42,Big data -+-politics-=-open data: The case of health care data in England,"Keen, J.; Calinescu, R.; Paige, R.; Rooksby, J.",Wiley,2013
,43,BIG DATA: NAVIGATING FEDERAL AIMS STATE PRIVACY LAWS What are the potential pitfalls of applying Big Data to healthcare? A legal expert at the law firm Foley &amp; Lardner offers advice for complying with federal and state privacy laws,"Habte, M.L.","HEALTH DATA ANALYSIS, INC.",2015
,44,"Big Data Promises to Pay Big Dividends ...for SWD, Inc., a continuous-improvement-minded provider of metal-finishing and fastener-sorting services. New data-discovery and analysis software allows SWD management to unlock new pathways to improved performance, and serves as the foundation for its customer-communication strategy of the future",unknown,PRECISION METALFORMING,2015
,45,Data Protection in an Era of Big Data: The Challenges Posed by Big Personal Data,"Paterson, Moira; McDonagh, Maeve",unknown,2018
,46,"BIG DATA, BIGGER QUESTIONS: DATA-BASED BUSINESS MODELS AND THEIR IMPLICATIONS FOR ORGANIZATIONAL BOUNDARIES, DATA GOVERNANCE, AND SOCIETY","Shantz, Angelique Slade",Emerald,2018
,47,To mulch or to munch? Big modelling of big data,"Rodriguez, D; de Voil, P; Rufino, MC; Odendo, M; van Wijk, MT","Elsevier Science B.V., Amsterdam.",2017
,48,Demystifying big data: Anatomy of big data developmental process. Telecommunications Policy 40: 837-854,"Shin, D.-H.","Elsevier Science B.V., Amsterdam.",2020
,49,Think Big with Big Data: Identifying Suitable Big Data Strategies in Corporate Environments,"Ebner, K.; Buhnen, T.; Urbach, N.",IEEE,2014
,50,"A data-driven revolution The Internet of Things, big data, data analytics, and cloud computing can be used to create platform-independent advanced process control solutions to help industry optimize operations","Domínguez,  Luis; Kumar,  S. Mohan; Gallestey,  Eduardo; Saynevirta,  Simo",ISA INSTRUMENT SOCIETY OF AMERICA,2017
,51,WHAT DATA SAYS ABOUT US What are we learning from the vast ocean of data? Truths about our measured world and our measured selves. Excerpted from The Human Face of Big Data,"Smolan, R.; Erwitt, J.",TIME INC,2012
,52,Demystifying big data: Anatomy of big data developmental process,"Shin, Dong-Hee","Elsevier Science B.V., Amsterdam.",2016
,53,"A data-driven revolution The Internet of Things, big data, data analytics, and cloud computing can be used to create platform-independent advanced process control solutions to help industry optimize operations","Domínguez, Luis; Kumar, S. Mohan; Gallestey, Eduardo; Saynevirta, Simo",ISA INSTRUMENT SOCIETY OF AMERICA,2017
,54,"Cognitive big data: survey and review on big data research and its implications. What is really ""new"" in big data?","Lugmayr, Artur; Stockleben, Björn; Scheib, Christoph; Mailaparampil, Mathew A.",Emerald Group Publishing limited,2017
,55,From Big to Smart Data: Iterative ensemble filter for noise filtering in Big Data classification,"García‐Gil, Diego; Luque‐Sánchez, Francisco; Luengo, Julián; García, Salvador; Herrera, Francisco","John Wiley & Sons, Ltd",2019
,56,"Thinking Big Transitioning your students from working with small, student-collected data sets toward ``big data''","Kastens,  Kim; Krumhansl,  Ruth; Baker,  Irene",NATIONAL SCIENCE TEACHERS ASSOCIATION,2015
,57,Why ``Big Data'' Is a Big Deal New methods for understanding the torrent of data promise to save lives and propel scholarship,"Shaw, J.",HARVARD MAGAZINE INC.,2014
,58,"Imagining big data: Illustrations of “big data” in US news articles, 2010-2016",Christian Pentzold; Cornelia Brantner; Lena Fölsche,SAGE PUBLICATIONS LTD,2019
,59,"Editorial: Big Data and New Drug Discovery: Tackling ""Big Data"" for Virtual Screening of Large Compound Databases","C. Basak, Subhash; Vracko, Marjan; K. Bhattacharjee, Apurba",Bentham Science Publishers Ltd,2015
,60,Reining in Big Data Semantic databases may be the tools banks need to harness big data's potential,unknown,MILLER FREEMAN INC,2012
,61,Biobanking with Big Data: A Need for Developing “Big Data Metrics”,unknown,Mary Ann Leibert Inc.,2016
,62,"Busting the big data myths. A backlash against `big data' has led to questions about whether it is overrated, but Bright North's Rob Hick believes it does offer opportunities and provides pointers on how to make the most of them","Hick, R.",CENTAUR MEDIA PLC,2014
,63,Publicly Available Data and Pediatric Mental Health: Leveraging Big Data to Answer Big Questions for Children,"Blair, L. M.","Elsevier Science B.V., Amsterdam",2016
,64,"Little Teams, Big Data: Big Data Provides New Opportunities for Teams Theory",Dorothy R. Carter; Raquel Asencio; Amy Wax; Leslie A. DeChurch; Noshir S. Contractor,Blackwell Pub.,2015
,65,"Christine L. Borgman, Big Data, Little Data, No Data: Scholarship in the Networked World","Stevens,  Hallam",Johns Hopkins University Press,2016
,66,Getting real about Big Data: applying critical realism to analyse Big Data hype,"Fox, S.; Do, T.",EMERALD,2013
,67,U.S. Government BETS Big on Data: A multi-agency big data initiative offers an array of national advantages,"Seffers, G.I.",AFCEA ARMED FORCES COMMUNICATIONS AND,2013
,68,"The Politics of Big Data: Big Data, Big Brother?A.R.SætnanI.SchneiderN.Green (eds 2018LondonRoutledge 346 pp., £ 105 ISBN 987‐1‐138‐29374‐8","King, Tom",John Wiley & Sons Ltd,2019
,69,Towards building a data-intensive index for big data computing – A case study of Remote Sensing data processing,"Ma, Y.; Wang, L.; Liu, P.; Ranjan, R.","Elsevier Science B.V., Amsterdam.",2015
,70,The Case for Big Data: New York City's Kalvi HUMAN Project Aims to Use Big Data in Resolving Big Health Questions,"Mertz, L.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2016
,71,"The Benefits of Big Data ``Big data'' can be challenging to acquire and use, but the rewards can boost business performance","Roberts, B.",SOCIETY FOR HUMAN RESOURCE MANAGEMENT,2013
,72,"The politics of big data. Big data, big brother?","Mager, Astrid",Taylor & Francis,2019
,73,"Convex Optimization for Big Data: Scalable, randomized, and parallel algorithms for big data analytics","Cevher, V.; Becker, S.; Schmidt, M.",INSTITUTE OF ELECTRICAL AND ELECTRONIC ENGINEERS,2014
,74,"The value of `big data' The use of ``big data'' provides the industry with an opportunity to improve energy efficiency, minimize environmental impact and optimize operational performance. How do we work as an industry to unlock its value?",unknown,SIMMONS-BOARDMAN PUBLISHING CORPORATION,2014
,75,Hybrid Optimization in Big Data: Error Detection and Data Repairing by Big Data Cleaning Using CSO-GSA,"Satish,  K. V. Rama; Kavya,  N. P.",Springer,2017
,76,"Exploratory vs solution-seeking big data: Discussion for ""Experiences with big data: Accounts from a data scientist's perspective""","M. Anderson-Cook, Christine",Taylor & Francis,2020
,77,Can Sensors Collect Big Data? An Energy-Efficient Big Data Gathering Algorithm for a WSN,"Rani, S.; Ahmed, S. H.; Talwar, R.; Malhotra, J.",IEEE,2017
